,youtube_id,comment,like_num
223,shanevadillo,This is so sad. I just discovered them last year and I really wanted to attend their concert.,0개
224,신연재,한번들으면 중독되요 ㅋ,4개
225,DongHyunKim,저기요다른사람다사라져라할때가너무짜증나는거같아요,1개
226,꼬맹이수아,한국인 찾다가 빡쳐서 내가 셨어요,489개
227,animegif,really cute voice ^^,1개
228,LenieChin,how did I only just find out about them nOw-,2개
229,코로나를예방하자,요즘에 딱맞는 노래인듯..,1개
230,BerkahRamadhani,Angel sound 💓💓💓,1개
231,ColinKim,"All of their songs from this album are all in the top 20 of melon chartsss
Digital monster queenssss",521개
232,침침침침,선생님피없써,1개
233,Imdone,꼬춘 넣어둬 검색했는데,1개
234,TravelVintage,Wow the singer looks so much like Kim Dami like alotttt 😱😍 they could be twins 👯‍♀️,3개
235,sammilaaaMaeCruz,when i fall inlove with someone I always listeing their songs✨❤️,0개
236,moointhenight,"Angels?😇

I only know Bol4, they are the real angels 😍",175개
237,TzuKookJiMinaBamLisaTaeSana,Came here when i learned about the news... I support both of you always :D your songs are always on my travel playlist and I hope when you travel new paths separately you'll always remember each other.,8개
238,Arielsome,2020 anyone?,1개
239,윤동국,와 근데 목소리랑 음이 딱 맞는게 ㄹㅇ 소름,2개
240,AnhVit,"this is bol4 best song so far,everytime i listen to it i feel like i'm back to the good old days",2개
241,AidaRadhiah,"Doesn't it kinda creepy if you walking with a man that has an arrow at his chest...?
OK I'm just joking",131개
242,소이,난 진짜 뮤비도 그렇고 볼빨간사춘기만의 특유의 이 감성이 너무 좋았는데..,1개
243,kurokyoong,Cant wait for  bol4 x baekhyunee collab 😭,2개
244,HuiYunVIP,I miss Jiyoung from this period😢😢,0개
245,김태연,이노래 들으면 2학년때 생각난다~좋았는데...,2개
246,PridePKJ,"Great song!

Was I the only one laughing a lot over Jiyoon's reaction to being shot twice!? Hahaha",292개
247,최은규,구독해주세요,1개
248,,나만 울음,3개
249,kahsengyee,2020listen to this song during quarantine?,2개
250,MylesWoo,곡 끝날때 즈음에 나에겐 너 하나뿐인걸~ 하면 될듯,1개
251,inkpilferer,"What you should sleep on: beds
What you shouldn't sleep on: BOL4",146개
252,커피좋아하는멍멍이,논산에서 들을 때 노래는 너무 설레고 좋아서 미치겠는데 내 상황 보니까 더 미치겠었는데,1개
253,SyaeSyae,where can i got those wings,2개
254,KazumaGotou,I miss this duo ... I want jiyoung and jiyoon together again😭😭,2개
255,MarphyRose,I don't know if everyone notice but in Every Korean show( may be not every) this song is always playing like in the love scene,3개
